dataset,caso,n,m,metodo,memSize,porcentajeVecindad,iteraciones,tiempo,costo
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,10,55.8857,3597
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,20,94.2213,3545
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,30,141.121,3467
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,40,178.582,3393
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,50,225.743,3373
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,100,451.813,3247
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,200,987.066,3125
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,400,1977.14,3031
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,600,3035.9,2999
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,800,3943.7,2986
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,1000,4858.87,2973
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,1,8.69163,3705
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,10,68.6614,3529
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,20,139.704,3293
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,30,219.11,3188
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,40,293.873,3106
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,50,354.164,3037
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,100,766.917,2896
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,200,1667.5,2792
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,400,3901.8,2738
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,600,6028.34,2738
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,800,8084.86,2736
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,1000,10334.4,2735
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,10,1,10.6109,3705
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,10,10,90.4492,3442
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,10,20,186.619,3258
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,10,30,298.129,3122
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,10,40,425.912,3029
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,10,50,563.013,2931
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,10,100,1111.96,2764
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,10,200,2730.27,2726
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,10,400,6707.78,2711
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,10,600,11284.9,2707
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,10,800,15287.0,2699
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,10,1000,19667.9,2699
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,20,1,13.3827,3626
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,20,10,132.861,3369
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,20,20,302.763,3133
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,20,30,497.116,3019
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,20,40,715.787,2928
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,20,50,920.243,2870
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,20,100,1854.88,2765
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,20,200,4702.79,2761
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,20,400,14704.9,2727
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,20,600,27559.2,2708
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,20,800,38224.2,2693
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,20,1000,50845.1,2690
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,60,1,36.2007,3626
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,60,10,327.825,3307
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,60,20,724.936,3145
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,60,30,1125.93,3027
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,60,40,1603.34,2921
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,60,50,2087.07,2859
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,60,100,4974.82,2791
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,60,200,15776.3,2791
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,60,400,56872.2,2791
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,60,600,96652.5,2791
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,60,800,137950.0,2791
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,60,1000,176361.0,2787
